system:index,Frequency_GHz,IncidenceAngle,LAI,SoilMoisture,SoilRoughness_placeholder,VH,VV,date,.geo
S1A_IW_GRDH_1SDV_20150217T222155_20150217T222220_004669_005C3C_BDC4,5.405,41.30725458636516,0.2891854054523356,,,-19.224656675498576,-11.253782812513268,2015-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150605T222159_20150605T222224_006244_0082AF_2E06,5.405,41.30759787676743,0.528000737975343,0.15399722805043228,,-17.271151172747423,-9.336902453964921,2015-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150617T102014_20150617T102039_006412_008774_725D,5.405,35.965136167666735,0.6664622764368815,0.1390265361601565,,-16.08039692066987,-9.37309846952739,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150629T102015_20150629T102040_006587_008C5C_EA09,5.405,35.97640302177168,0.9676831915263069,0.16805975589932515,,-13.58600141784404,-7.175967988808138,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150711T102015_20150711T102040_006762_009129_4254,5.405,35.96984317053133,1.398233200208369,0.16627675520271815,,-16.156059290109567,-9.118385329846774,2015-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150723T102016_20150723T102041_006937_00962C_C070,5.405,35.9772722423906,2.128819022399722,0.17348019478200866,,-14.79143235845692,-8.001642463422288,2015-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150816T102017_20150816T102042_007287_009FD6_975C,5.405,35.969791166472135,0.5994541152977949,0.15078720437879323,,-15.321252802878881,-8.85490855381349,2015-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150828T102018_20150828T102043_007462_00A492_47A9,5.405,35.970202418662296,2.0713025264802924,0.15491684369680261,,-15.543141467780602,-9.264437901499988,2015-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150909T102018_20150909T102043_007637_00A962_893B,5.405,35.973211190300404,1.5273506685188407,0.16186354528455174,,-15.375403829443504,-8.977282137987233,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150921T102018_20150921T102043_007812_00ADF8_2753,5.405,35.975635295792415,1.0947777391908315,0.14917189584058874,,-15.695183082832664,-9.22019967515216,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151003T102018_20151003T102043_007987_00B2BB_7AF8,5.405,35.97503962305186,0.5803003993748913,0.14287028004642294,,-16.23162697638011,-9.857113526967378,2015-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151015T102019_20151015T102044_008162_00B76C_CC33,5.405,35.96893329467076,0.4442361955200558,0.14193374782550236,,-16.90161033641588,-10.058830374136273,2015-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151027T102018_20151027T102043_008337_00BC36_5C09,5.405,35.96240763784974,0.26745484892578963,0.1364003462450845,,-17.051173007419106,-10.11561782875472,2015-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151120T102013_20151120T102038_008687_00C5B1_D1FB,5.405,35.96979266266252,0.0,0.17327586279696777,,-15.947275951334177,-8.620451600353862,2015-11-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151202T102012_20151202T102037_008862_00CA98_9EF4,5.405,35.96705665520143,0.31494831782692523,0.18888421356678006,,-16.14261034698851,-9.232091799789542,2015-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151214T102012_20151214T102037_009037_00CF73_0ED7,5.405,35.965273637389565,0.26673058889228407,0.18424769559828172,,-17.339983724528206,-10.51739396940528,2015-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151226T102011_20151226T102036_009212_00D46A_D9B7,5.405,35.96095070678567,0.21180629458311817,0.18147717791945997,,-17.99918390119521,-11.113182679425423,2015-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160107T102011_20160107T102036_009387_00D968_CEF4,5.405,35.959201178430945,0.1133235693889808,0.17816861875417853,,-18.79853467293,-11.654991106013828,2016-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160307T102010_20160307T102035_010262_00F2B5_2163,5.405,35.96461081736275,0.10848020489668349,0.16991567098292984,,-17.808874358890613,-11.097018425328764,2016-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160331T102011_20160331T102036_010612_00FCB0_244E,5.405,35.96909248509292,0.6334107483938187,0.1593838486851764,,-17.550162315615516,-11.609310562981888,2016-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160412T102011_20160412T102036_010787_0101EE_474F,5.405,35.97074238518351,1.0761167303351276,0.15302570940566665,,-17.754470018188965,-11.674659803636796,2016-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160506T102012_20160506T102037_011137_010CC1_1ED7,5.405,35.965199300440396,1.1941927852057652,0.14785954331149576,,-17.299133471846776,-11.009390195903308,2016-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160530T102017_20160530T102042_011487_011822_016E,5.405,35.973909808454486,0.7559363604792497,0.153815818434002,,-16.708813788824088,-10.465155759178867,2016-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
