system:index,LAI,SoilMoisture,VH,VV,date,.geo
S1A_IW_GRDH_1SDV_20150210T222837_20150210T222902_004567_0059DB_7810,0.29040302922706224,,-19.07647052239892,-11.073461896711706,2015-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150210T222902_20150210T222927_004567_0059DB_B01E,0.29040302922706224,,-18.05603244985781,-10.214153536918042,2015-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150210T222927_20150210T222952_004567_0059DB_DFC2,0.29040302922706224,,-17.705929166568538,-9.783500990921628,2015-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150210T222952_20150210T223017_004567_0059DB_BEBA,0.29040302922706224,,-17.58675013502469,-9.334758612789338,2015-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150210T223017_20150210T223042_004567_0059DB_6FD4,0.29040302922706224,,-18.223396111148478,-10.565301529565275,2015-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150217T222015_20150217T222040_004669_005C3C_F0EB,0.29085216749588866,,-17.330176430559266,-9.412564657358645,2015-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150217T222040_20150217T222105_004669_005C3C_DB59,0.29085216749588866,,-19.79576872565549,-11.646939848671833,2015-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150217T222105_20150217T222130_004669_005C3C_0554,0.29085216749588866,,-21.261409000379885,-11.54958910919078,2015-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150217T222130_20150217T222155_004669_005C3C_FA05,0.29085216749588866,,-19.77668209251389,-10.987930466269013,2015-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150217T222155_20150217T222220_004669_005C3C_BDC4,0.29085216749588866,,-18.746559003236168,-10.641765964551574,2015-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150308T221205_20150308T221234_004946_0062EE_F301,0.3900277031133493,,-20.538185213218917,-11.848960307441454,2015-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150308T221234_20150308T221259_004946_0062EE_E428,0.3900277031133493,,-22.60943475480268,-13.150794171644751,2015-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150308T221259_20150308T221324_004946_0062EE_9449,0.3900277031133493,,-19.843813824325093,-11.159596703501503,2015-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150308T221324_20150308T221336_004946_0062EE_D785,0.3900277031133493,,-18.8378645086669,-10.689376688849352,2015-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150401T221206_20150401T221235_005296_006B34_501D,0.6880226485128322,0.16506502545596657,-15.874966188762736,-6.7899917325862225,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150401T221235_20150401T221300_005296_006B34_45CA,0.6880226485128322,0.16506502545596657,-19.055606561174006,-9.754730640186976,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
