system:index,LAI,SoilMoisture,VH,VV,date,.geo
S1A_IW_GRDH_1SDV_20160102T221316_20160102T221343_009321_00D788_8F30,0.22964090032042891,0.17117949520694944,-22.726046860335302,-13.11729802238775,2016-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160114T221316_20160114T221343_009496_00DC88_1C59,0.26024301578555276,0.17121783241599434,-24.125389835426493,-14.155062306876875,2016-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160126T221315_20160126T221342_009671_00E1AF_6F6E,0.1763990717294353,0.1705193330974583,-24.500647795237438,-14.252484803531527,2016-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160207T221315_20160207T221342_009846_00E6B6_A12C,0.18508931869728434,0.1697376734541011,-23.410452084052178,-13.868536879387365,2016-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160219T221315_20160219T221342_010021_00EBE1_9D37,0.2125593388448854,0.1784520805354787,-22.126545887240017,-12.753754373800168,2016-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160302T221315_20160302T221342_010196_00F0D2_45A9,0.3146359441907416,0.17261698804321288,-21.549700046449882,-12.800251506451719,2016-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160314T221316_20160314T221342_010371_00F5EF_432C,0.4473313875641422,0.16854811087527552,-20.829620263686,-12.607649101247686,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160326T221316_20160326T221343_010546_00FAC9_A7BA,0.7753440564221518,0.16460275839444016,-20.58890660858917,-12.65247791633131,2016-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160407T221316_20160407T221343_010721_00FFEA_DA12,1.1133848655724063,0.16089831631335388,-19.78648557883641,-12.688533291267028,2016-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160419T221317_20160419T221343_010896_01052F_41A8,1.8179159241573128,0.1605959387831049,-20.198062927498338,-12.849998181146141,2016-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160513T221321_20160513T221347_011246_011040_96EB,1.1391748403314723,0.15413531909774533,-19.520258558737716,-12.42890525204441,2016-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160525T221321_20160525T221348_011421_0115FD_2D82,1.3523067909903643,0.14837918819716092,-18.963256990791265,-11.735539642736589,2016-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160606T221322_20160606T221349_011596_011B8A_042F,0.38150594776180224,0.1505397635998228,-18.57334747649924,-11.2991239995796,2016-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160630T221323_20160630T221350_011946_012696_4D57,0.8183551306326415,0.17576636698478748,-16.280125589463893,-9.015685412813038,2016-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160712T221305_20160712T221330_012121_012C5B_3E87,1.1091262642005437,0.1692782050329471,-16.175042601400484,-9.577111075929588,2016-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160712T221330_20160712T221356_012121_012C5B_3A70,1.1091262642005437,0.1692782050329471,-16.184306182857004,-9.887460894313762,2016-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160817T221326_20160817T221353_012646_013D9A_363F,0.7044893738488383,0.19244657717720587,-15.612851731684163,-8.962574214327127,2016-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160829T221327_20160829T221353_012821_01438F_E9DB,2.6459073895171374,0.208713829124053,-15.395883719139741,-8.816896762770309,2016-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20160928T221226_20160928T221251_002275_003D5E_081E,0.5539270065190174,0.17451903312811065,-18.701893170106604,-10.917148739917087,2016-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20160928T221251_20160928T221318_002275_003D5E_D362,0.5539270065190174,0.17451903312811065,-20.745546543482742,-12.98747471687932,2016-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161010T221227_20161010T221252_002450_004229_5A28,0.3572770560505957,0.1842175994610715,-21.07475030620803,-12.21605292914638,2016-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161010T221252_20161010T221318_002450_004229_FD29,0.3572770560505957,0.1842175994610715,-21.283770740553397,-12.418023719068918,2016-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161022T221246_20161022T221312_002625_004700_303B,0.18190272660477697,0.18075084893817958,-17.490189187675867,-8.361696437855171,2016-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161103T221226_20161103T221251_002800_004BE1_AF0E,0.4434637617452646,0.18815412503231796,-20.8280092223038,-12.0445115413333,2016-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161103T221251_20161103T221318_002800_004BE1_6D76,0.4434637617452646,0.18815412503231796,-20.47955124405269,-12.056420116370424,2016-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161115T221245_20161115T221312_002975_0050DF_0E3D,0.2829823219972058,0.1860375110745122,-19.332863890847506,-11.022947984195225,2016-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161127T221226_20161127T221251_003150_0055BF_4414,0.5369177723157444,0.18845208619010723,-24.416445589286223,-13.956772809463645,2016-11-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161127T221251_20161127T221317_003150_0055BF_47FD,0.5369177723157444,0.18845208619010723,-23.426700496321086,-13.698121648037587,2016-11-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161209T221245_20161209T221311_003325_005AD3_F870,0.378505557281398,0.18256446213172414,-22.848422526025836,-12.645194954268794,2016-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161221T221228_20161221T221253_003500_005FC0_1C35,0.5020202257731938,0.18268508428298993,-20.24315920101906,-13.102012426740444,2016-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20161221T221253_20161221T221311_003500_005FC0_948D,0.5020202257731938,0.18268508428298993,-20.480348512075288,-13.57313048020093,2016-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170102T221226_20170102T221251_003675_0064EB_0AE6,0.2731608639168426,0.18817111281125107,-21.5521623865028,-14.378908047168359,2017-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170102T221251_20170102T221309_003675_0064EB_B990,0.2731608639168426,0.18817111281125107,-21.517215766230954,-14.732149121103225,2017-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170114T221226_20170114T221251_003850_006A00_2908,0.6141315263219806,0.18846267059606145,-26.06257468487902,-16.94843287936796,2017-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170114T221251_20170114T221309_003850_006A00_FB26,0.6141315263219806,0.18846267059606145,-25.01145812059061,-16.604473393377138,2017-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170126T221226_20170126T221251_004025_006F45_EE3C,0.4416061268333765,0.18654116408753982,-25.017158494078146,-17.113903166031736,2017-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170126T221251_20170126T221309_004025_006F45_361E,0.4416061268333765,0.18654116408753982,-23.865824242291918,-16.77426060838255,2017-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170207T221225_20170207T221250_004200_007472_4804,0.4270838724855899,0.18548869853317804,-23.14052306596493,-16.357268201566573,2017-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170207T221250_20170207T221309_004200_007472_21B6,0.4270838724855899,0.18548869853317804,-22.54244639413515,-16.237269997655826,2017-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170219T221225_20170219T221250_004375_0079BB_853A,0.5191317667920606,0.1829051389867164,-22.792893037593775,-16.497368256099232,2017-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170219T221250_20170219T221308_004375_0079BB_7F64,0.5191317667920606,0.1829051389867164,-22.315410012773214,-16.381075566822563,2017-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170303T221227_20170303T221254_004550_007EDB_26C4,0.6777145456100659,0.18224298217238213,-23.763821231587002,-16.971694719406784,2017-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170315T221228_20170315T221255_004725_008408_4B45,0.8024491742862598,0.17865246140004992,-22.510541694339352,-16.34937663730257,2017-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170327T221228_20170327T221255_004900_008906_40A0,1.3587723308690887,0.17863311438903332,-21.23581338399297,-14.678679441537945,2017-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170408T221228_20170408T221255_005075_008E13_FB8B,0.3412275865868838,0.18007002734567137,-22.40285921134952,-16.20756705973328,2017-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170502T221230_20170502T221257_005425_009830_725C,2.3131901442013327,0.16171173655470208,-22.61720649909908,-16.570420335581954,2017-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170514T221230_20170514T221257_005600_009CF8_0C0B,1.8250032166377441,0.15955501598693894,-22.08162537073852,-16.184449408271234,2017-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170526T221231_20170526T221258_005775_00A1FB_5A2E,1.2976448124119848,0.15030264059082676,-21.046307727037842,-15.002575019738165,2017-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170607T221232_20170607T221259_005950_00A70C_A194,0.6023934261107606,0.16296284475812683,-20.43453571929392,-14.012899710128705,2017-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170619T221232_20170619T221259_006125_00AC30_C352,0.5639407738317249,0.15861634104199865,-21.7529169152944,-13.942738155262795,2017-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170701T221233_20170701T221300_006300_00B141_926D,0.9698557450181884,0.17032334790436796,-20.972844525282632,-13.670336518088645,2017-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170713T221234_20170713T221301_006475_00B630_4B9C,1.3085524284093066,0.16334629729185857,-20.011803779517063,-13.521378546569418,2017-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170725T221234_20170725T221301_006650_00BB2D_2A5D,1.0907398287438388,0.1882157732696055,-19.144951324462784,-12.174082000955663,2017-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170806T221235_20170806T221302_006825_00C039_1F8D,3.6510195374500727,0.1822847145145675,-18.29744159357771,-11.786720724766571,2017-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
