system:index,Frequency_GHz,IncidenceAngle,LAI,SoilMoisture,SoilRoughness_placeholder,VH,VV,date,.geo
S1A_IW_GRDH_1SDV_20150210T222952_20150210T223017_004567_0059DB_BEBA,5.405,30.654851377929376,0.5938673229307194,,,-18.818834493949836,-11.10735289859793,2015-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150217T222155_20150217T222220_004669_005C3C_BDC4,5.405,41.77251395406074,0.5219448159821075,,,-19.23335015647138,-10.744711226911154,2015-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150605T222159_20150605T222224_006244_0082AF_2E06,5.405,41.77317284184677,0.4977986633876464,0.136992637357509,,-17.626367295736234,-9.41732317702608,2015-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150617T102014_20150617T102039_006412_008774_725D,5.405,35.56159450602494,0.6678468677547746,0.12558955937522925,,-16.191554633377994,-9.168307604276265,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150629T102015_20150629T102040_006587_008C5C_EA09,5.405,35.573258281743485,0.8301866433396152,0.15589629403149954,,-13.409352311248568,-6.9412684704365155,2015-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150711T102015_20150711T102040_006762_009129_4254,5.405,35.56673979935678,1.459542375874043,0.1484337197535117,,-16.221437405036376,-9.066475924762232,2015-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150716T102827_20150716T102852_006835_009351_67CF,5.405,46.004372651404076,1.556854725632098,0.1408108753184034,,-16.46547191757175,-9.442727169186165,2015-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150723T102016_20150723T102041_006937_00962C_C070,5.405,35.57394057569379,2.977490049266087,0.15452600890093182,,-14.867785976859215,-7.848712035238028,2015-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150809T102828_20150809T102853_007185_009D09_C6BE,5.405,46.004979023008,3.215033599955686,0.14684191588065018,,-17.025013709342122,-10.275174639141094,2015-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150816T102017_20150816T102042_007287_009FD6_975C,5.405,35.56637308935437,0.6240787564958183,0.13536456937623517,,-15.602012627141649,-8.964944479014534,2015-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150828T102018_20150828T102043_007462_00A492_47A9,5.405,35.56702914260824,3.232189484592953,0.13607123778781904,,-15.387101877157047,-8.863663043233451,2015-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150902T102829_20150902T102854_007535_00A699_E4EE,5.405,46.00386607277086,1.893944852911477,0.13083851484802353,,-17.06154837852635,-10.553565792159777,2015-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150909T102018_20150909T102043_007637_00A962_893B,5.405,35.570001676462454,1.8828067243765005,0.14369605878469602,,-15.330088662194687,-8.70928984802684,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150921T102018_20150921T102043_007812_00ADF8_2753,5.405,35.572390146396344,1.0309532739616782,0.13221231509893752,,-15.70236553446241,-8.972237203161548,2015-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151003T102018_20151003T102043_007987_00B2BB_7AF8,5.405,35.57167936448701,0.4326084021239006,0.12820566888223867,,-16.69490812396019,-9.724668593342074,2015-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151015T102019_20151015T102044_008162_00B76C_CC33,5.405,35.56549002352043,0.3429991725513235,0.12882215562943652,,-17.220615706969507,-9.723604409945159,2015-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151020T102830_20151020T102855_008235_00B97C_93A6,5.405,46.00577839051932,0.2921446615711831,0.12607763493320437,,-18.07323753153922,-10.891911836125757,2015-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
